1;23:16:32.136152;0,72;10,007;-1,999;
2;23:16:33.995581;0,93;10,007;-1,999;
3;23:16:35.768606;0,93;10,007;-1,999;
4;23:16:37.523253;0,93;10,007;-1,999;
5;23:16:39.084537;0,77;10,007;-1,999;
6;23:16:43.402979;0,90;10,007;-1,999;
7;23:16:45.083567;0,88;10,007;-1,999;
8;23:16:47.406587;0,93;10,007;-1,999;
9;23:16:49.114041;0,87;10,007;-1,999;
10;23:16:50.629903;0,74;10,007;-1,999;
11;23:16:52.283086;0,83;10,007;-1,999;
12;23:16:56.049617;2,92;10,007;-1,999;
13;23:16:58.005834;0,90;10,007;-1,999;
14;23:16:59.533005;0,74;10,007;-1,999;
15;23:17:01.072453;0,77;10,007;-1,999;
16;23:17:02.683372;0,83;10,007;-1,999;
17;23:17:04.304069;0,82;10,008;-1,999;
18;23:17:08.036091;2,88;10,007;-1,999;
19;23:17:10.013601;0,77;10,007;-1,999;
20;23:17:11.597293;0,75;10,007;-1,999;
21;23:17:13.156741;0,76;10,007;-1,999;
22;23:17:14.827623;0,91;10,007;-1,999;
23;23:17:16.404660;0,75;10,007;-1,999;
24;23:17:19.960089;2,74;10,007;-1,999;
25;23:17:21.625478;0,81;10,007;-1,999;
26;23:17:23.364651;0,91;10,007;-1,999;
27;23:17:25.015513;0,82;10,007;-1,999;
28;23:17:26.496584;0,72;10,007;-1,999;
29;23:17:28.288484;0,88;10,007;-1,999;
30;23:17:32.030796;0,89;10,007;-1,999;
31;23:17:33.732443;0,83;10,007;-1,999;
32;23:17:35.285660;0,73;10,007;-1,999;
33;23:17:36.806259;0,75;10,007;-1,999;
34;23:17:38.557962;0,92;10,007;-1,999;
35;23:17:40.160298;0,83;10,007;-1,999;
36;23:17:43.702463;0,73;10,007;-1,999;
37;23:17:45.562501;0,89;10,007;-1,999;
38;23:17:47.270737;0,91;10,007;-1,999;
39;23:17:48.758588;0,72;10,007;-1,999;
40;23:17:50.341387;0,78;10,007;-1,999;
41;23:17:51.936666;0,80;10,007;-1,999;
42;23:17:55.641956;0,88;10,007;-1,999;
43;23:17:57.542151;0,94;10,007;-1,999;
44;23:17:59.064550;0,71;10,007;-1,999;
45;23:18:00.800028;0,90;10,007;-1,999;
46;23:18:02.444633;0,84;10,006;-1,999;
47;23:18:04.077940;0,75;10,007;-1,999;
48;23:18:05.755693;0,86;10,007;-1,999;
49;23:18:09.441346;0,84;10,007;-1,999;
50;23:18:11.360255;0,72;10,007;-1,999;
51;23:18:12.967717;0,78;10,007;-1,999;
52;23:18:14.533097;0,76;10,007;-1,999;
53;23:18:16.227897;0,82;10,007;-1,999;
54;23:18:18.100726;0,85;10,007;-1,999;
55;23:18:21.980617;0,96;10,007;-1,999;
56;23:18:23.599241;0,78;10,007;-1,999;
57;23:18:25.461103;0,84;10,007;-1,999;
58;23:18:27.043620;0,79;10,007;-1,999;
59;23:18:28.552568;0,72;10,007;-1,999;
60;23:18:30.259592;0,89;10,007;-1,999;
61;23:18:34.033549;0,90;10,007;-1,999;
62;23:18:36.082568;0,72;10,007;-1,999;
63;23:18:37.659731;0,77;10,007;-1,999;
64;23:18:39.351964;0,85;10,007;-1,999;
65;23:18:41.000712;0,80;10,007;-1,999;
66;23:18:42.653408;0,88;10,007;-1,999;
67;23:18:46.434163;0,91;10,007;-1,999;
68;23:18:48.102583;0,71;10,007;-1,999;
